Laura	large image	0012_003912_000030	Mrs. J. J. Hardin giving pruning demonstration to four members.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Front caption title. No information on back of photograph.	1 photograph, black and white, 8.5 x 14 cm.			eng	University of Tennessee, Knoxville. Libraries	Southern States	naf									Girls	lctgm	Gardening	lctgm	Canned foods	lctgm	Gardening -- Study and teaching.	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh												
Laura	large image	0012_003912_000031	Fayette County Canning Club Exhibit, Oct. 13-1913.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1916	Oct. 13- 1913		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Front caption title. No information on back of photograph.	1 photograph, black and white, 9 x 14 cm.			eng	University of Tennessee, Knoxville. Libraries	Fayette County (Tenn.)	naf									Canning & preserving	lctgm	Exhibitions	lctgm	Canned foods	lctgm	Canning and preserving -- Exhibitions.	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh												
Alesha	large image	0012_003912_000032	Henry Co. Tennessee Tomato Club Rally Day		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	191u	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Sauer	photographer		personal					University of Tennessee, Knoxville. Special Collections	Front caption handwritten in ink reads "Tennessee V. P. Moore." Virginia P. Moore sits on the side of the automobile wearing a dark hat and skirt. Back caption handwritten along lefthand side in pencil reads "Henry Co. Tennessee Tomato Club Rally Day." Additional information handwritten in ink includes "Early work in Tenn."; "Virginia P. Moore State Agent Tennessee 1911-1919"; and "Return to Virginia P. Moore, Ext. Dept. F. S. C. W., Tallahassee, Fla." Stamped in ink on the back is "Made by The Sauer Studio Paris, Tenn. Successor to The Fox Studio"	1 photograph, black and white, 12 x 17.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Henry County (Tenn.)	naf					Moore, Virginia P. (Virginia Pearl)	naf			Girls	lctgm	Parades & processions	lctgm	Girls -- Societies and clubs	lcsh	Parades	lcsh	Agricultural education -- Societies, etc.	lcsh														
Alesha	large image	0012_003912_000033	[Display of canned produce by Hamilton County club]		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	191u	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Sauer 	photographer		personal					University of Tennessee, Knoxville. Special Collections	Devised title from the textual information in the photographic image on the left corner of the photo, 'Hamilton County, Tenn. Team.' Stamped in ink on the back of the photograph is "Made by The Sauer Studio Paris, Tenn. Successor to The Fox Studio." No other captions or information present. 	1 photograph, black and white, 12.5 x 17.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Hamilton County (Tenn.)	naf									Canning & preserving	lctgm	Exhibitions	lctgm	Canned foods	lctgm	Farm produce	lctgm	Canning and preserving -- Exhibitions.	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh										
Alesha	large image	0012_003912_000034	[Outdoor canning demonstration]		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Phographer							University of Tennessee, Knoxville. Special Collections	The back of the photograph includes handwritten signatures of 17 individuals including Virginia P. Moore. Virginia P. Moore sits in the front row, two people to the left of the seated man. 	1 photograph, black and white, 20.5 x 25.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Southern States	naf					Moore, Virginia P. (Virginia Pearl)	naf			Canning & preserving	lctgm	Girls	lctgm	Women	lctgm	Men	lctgm	Canning and preserving	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh										
Alesha	large image	0012_003912_000035	[Grace Waters standing in garden plot] 		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	191u	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Devised title. Handwritten caption in pencil on back of photograph reads "Grace Waters Knox Co. Return to Virginia Moore." Additional captions handwritten in ink read "Early work in Tennessee"; "Return to: Virginia P. Moore Ext. Dept. F. S. C. W. Tallahassee, Fla."; and "Virginia P. Moore State Agent Tenn. 1911-1919."	1 photograph, black and white, 17.5 x 22 cm.			eng	University of Tennessee, Knoxville. Libraries	Knox County (Tenn.)	naf									Girls	lctgm	Gardening	lctgm	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh																
Alesha	large image	0012_003912_000036	[Club girls in uniforms stand around an automobile with Virginia P. Moore sitting inside]		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Devised title. Handwritten in ink on the back of the mounting is "Early Work in Tennessee"; "Virginia P. Moore State Agent Tenn. 1911-1919"; and "Return to: Virginia P. Moore Ext. Dept. F. S. C. W. Tallahassee, Fla."	1 photograph, black and white, 18.5 x 22.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Tennessee	naf					Moore, Virginia P. (Virginia Pearl)	naf			Girls	lctgm	Automobiles	lctgm	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh																
Alesha	large image	0012_003912_000037	At home of Myrtle McMurray		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Caption handwritten in ink on the back of the photograph reads "Knox Co. Tenn. At home of Myrtle McMurray, canned 7 different vegetables." Additional captions handwritten in ink on the back include "Early Work in Tennessee"; "Virginia P. Moore State Agent Tenn."; and "Return to Virginia P. Moore Extension Dept. F. S. C. W. Tallahassee, Fla."	1 photograph, black and white, 19.5 x 24.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Knox County (Tenn.)	naf									Girls	lctgm	Farm produce	lctgm	Corn	lctgm	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh														
Alesha	large image	0012_003912_000038	Breadmaking club of the Hamilton County Schools		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Caption handwritten in pencil on the back of the photograph reads "Breadmaking club of the Hamilton County Schools from J. B. Brown, Supt."	1 photograph, black and white, 20.5 x 25.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Hamilton County (Tenn.)	naf									Girls	lctgm	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh																		
Alesha	large image	0012_003912_000039	[Grace Waters standing in her demonstration plot]		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	191u	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	From the signage in the photo, "Girls' Tomato Club, Demonstration Plot, Grace Waters." Handwritten in ink upside down on the back of the photograph is "Grace Waters with sign." Additional captions handwritten in ink on the back include "Early Work in Tennessee"; "Virginia P. Moore State Agent Tennessee 1911-1919"; and "Return to: Virginia P. Moore Ext. Dept., F. S. C. W. Tallahassee, Fla."	1 photograph, black and white, 17.5 x 22 cm.			eng	University of Tennessee, Knoxville. Libraries	Tennessee	naf									Girls	lctgm	Tomatoes	lctgm	Gardening	lctgm	Tomatoes	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh												
Alesha	large image	0012_003912_000040	Fountain High Sch[ool] Club		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	191u	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Caption on back of photograph handwritten in pencil reads "Knox Co. Fountain High Sch Club." Additional captions handwritten in ink on the back include "Early Work in Tennessee"; "Virginia P. Moore State Agent Tennessee 1911-1919"; and "Return to Virginia P. Moore Ext. Dept., F. S. C. W., Tallahassee, Fla."	1 photograph, black and white, 17.5 x 22.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Knox County (Tenn.)	naf									Girls	lctgm	Canning & preserving	lctgm	Canning and preserving	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh														
Alesha	large image	0012_003912_000041	[Large group of club girls standing outside]		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	191u	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Devised title. Handwritten in pen on the back of the photograph is "Early work in Tennessee. Virginia P. Moore State Agent Tennessee 1911-1919." Also written is "Return to - Virginia P. Moore Extension Dept., F. S. C. W., Tallahassee, Fla."	1 photograph, black and white, 15.5 x 21 cm.			eng	University of Tennessee, Knoxville. Libraries	Tennessee	naf									Girls	lctgm	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh																		
Alesha	large image	0012_003912_000042	First meeting of County Canning Club Agents at Uni[versity of] Tennessee 		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	1914	circa 1914	approximate	photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Thompson	photographer		personal					University of Tennessee, Knoxville. Special Collections	Virginia P. Moore stands first on the left in the front row. Handwritten back caption reads "First meeting of County Canning Club Agents at Uni. Tennessee 1914- or 15-." Also handwritten in pen on the back of the photograph is "Early work in Tennessee. Virginia P. Moore State Agent Tennessee 1911-1919. Return to - Virginia P. Moore Extension Dept., F. S. C. W., Tallahassee, Fla." Imprinted on the front of the photograph in the lower righthand corner is "Thompson Photographer Knoxville."	1 photograph, black and white, 19 x 24 cm.			eng	University of Tennessee, Knoxville. Libraries	Knoxville (Tenn.)	naf					Moore, Virginia P. (Virginia Pearl)	naf			Women	lctgm	Canning & preserving	lctgm	Meetings	lctgm	Canning and preserving -- Congresses.	lcsh	Girls -- Societies and clubs.	lcsh	Agricultural education -- Societies, etc.	lcsh												
Sharon	large image	0012_003912_000043	[Rocky Fork Club Unicoi Co. at the cannery]		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Back caption, handwritten in pencil, "enlarged. Rocky Fork Club Unicoi Co - in front of "Co-operating Cannery."	1 photograph, black and white, 14 x 8.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Unicoi County (Tenn.)	naf									Girls	lctgm	Canning & preserving	lctgm	Canneries	lctgm	Girls -- Societies and clubs -- History	lcsh	Canning and preserving -- Societies, etc.	lcsh	Canneries	lcsh	Agricultural education -- Societies, etc.	lcsh										
Sharon	large image	0012_003912_000044	[Virginia P. Moore being humorous]		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Devised title. Back caption. "Va. P. Moore," handwritten in blue ink. Photo of Virginia P. Moore inside a tree trunk holding up a broom, dressed in a white food administration uniform.	1 photograph, black and white, 8 x 10 cm.			eng	University of Tennessee, Knoxville. Libraries							Moore, Virginia P. (Virginia Pearl)	naf			Women	lctgm	Housework	lctgm	Brooms & brushes	lctgm	Trees	lctgm	Home demonstration work -- History	lcsh	Housekeeping	lcsh	Photography, Humorous	lcsh										
Sharon	large image	0012_003912_000045	Lou Brickey in her plot.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Title from back caption, handwritten in ink, "Lou Brickey in her plot. Do you think this could be enlarged? Note the silo."  The photo of Lou Brickey in her beautiful and healthy garden plot with bean poles in the front and with corn crops bordered the plot in the background. Also shows farm houses and a barn with silo.	1 photograph, black and white, 6.5 x 11 cm.	 		eng	University of Tennessee, Knoxville. Libraries							Brickey, Lou.				Girls	lctgm	Gardening	lctgm	Beans	lctgm	Barns	lctgm	Beans -- Harvesting	lcsh	Girls -- Societies and clubs -- History	lcsh	Plant supports	lcsh										
Sharon	large image	0012_003912_000046	[African-American woman with her poultry.]	An	In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Devised title. No caption information. An African-American woman smokes a pipe while standing in a yard surrounded by hens, a rooster, and a duck next to a house and a shed. 	1 photograph, black and white, 8 x 10 cm.			zxx	University of Tennessee, Knoxville. Libraries											Women	lctgm	Chickens	lctgm	Ducks	lctgm	Pipes (Smoking)	lctgm	African American women	lcsh	Poultry	lcsh	Home demonstration work	lcsh										
Sharon	large image	0012_003912_000047	Girls Canning Club Exhibit		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1915	October 15-16, 1915		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Title from the signage in the photo. Back caption, handwritten in ink, 'Houston County Girls Canning Club Exhibit, Oct. 15 & 16, 1915.' A group photo of eleven girls seated on the floor and a woman standing, all surrounded by produce and canned goods set up on shelves for the exhibit. 	1 photograph, black and white, 12.5 x 17.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Houston County (Tenn.)	naf									Girls	lctgm	Canning & preserving	lctgm	Farm produce	lctgm	Canned foods	lctgm	Exhibitions	lctgm	Girls -- Societies and clubs -- History	lcsh	Canning and preserving -- Exhibitions.	lcsh	Canning and preserving -- Societies, etc.	lcsh								
Sharon	large image	0012_003912_000048	Montgomery County - Girls Canning Club Display, Oct. 1915. 		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1915	October, 1915		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Title from back caption, handwritten in pencil. Display of canned goods, along with the prizes awarded to them. A pennant from the girls' club and some cans, include the 4H symbol.	1 photograph, black and white, 12.5 x 17.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Montgomery County (Tenn.)	naf									Girls	lctgm	Canning & preserving	lctgm	Exhibitions	lctgm	Awards	lctgm	Girls -- Societies and clubs -- History	lcsh	Canning and preserving -- Societies, etc.	lcsh	Awards	lcsh	4-H clubs	lcsh								
Sharon	large image	0012_003912_000049	[Winners from Montgomery County Canning Club]		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1915	October, 1915		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Devised title. Back caption, handwritten in pencil, "1st & 2nd Prize girls in Montgomery Co. in Canning Club and their prize exhibits - Oct. 1915, Gladys & Elizabeth Hogan." 	1 photograph, black and white, 12.5 x 17.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Montgomery County (Tenn.)	naf					Hogan, Gladys		Hogan, Elizabeth		Girls	lctgm	Canning & preserving	lctgm	Exhibitions	lctgm	Awards	lctgm	Girls -- Societies and clubs -- History	lcsh	Canning and preserving -- Societies, etc.	lcsh	Awards	lcsh										
Sharon	large image	0012_003912_000050	Girls Canning Club Exhibit 8 varieties		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Title from the signage in the photo. Back caption, handwritten in pencil, "Houston Co. Exhibit." This is an exhibit from the Houston County Girls Canning Club showing a woman and a room full of eight varieties of canned foods, predominantly tomatoes.	1 photograph, black and white, 12.5 x 17.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Houston County (Tenn.)	naf									Girls	lctgm	Canning & preserving	lctgm	Exhibitions	lctgm	Tomatoes	lctgm	Girls -- Societies and clubs -- History	lcsh	Canning and preserving -- Societies, etc.	lcsh	Tomatoes	lcsh	Canning and preserving -- Exhibitions.	lcsh								
Sharon	large image	0012_003912_000051	[Tomato Club Exhibit at the 1912 Tennessee State Fair]		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1912			photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Devised title. Back caption, handwritten in ink, "2nd Tomato Club Exhibit Tenn State Fair Nashville 1912." Canned goods from various Tomato Clubs from Tennessee (especially Benton County and Hamilton County) are shown.  There are photos from their work displayed. Sylvia Richmond from Soddy, Tenn. has a sign showing her costs and profits from her garden.	1 photograph, black and white, 13 x 18 cm.			eng	University of Tennessee, Knoxville. Libraries	Nashville (Tenn.)	naf	Hamilton County (Tenn.)	naf	Benton County (Tenn.)	naf	Richmond, Sylvia				Girls	lctgm	Canning & preserving	lctgm	Tomatoes	lctgm	Fairs	lctgm	Exhibitions	lctgm	Girls -- Societies and clubs -- History	lcsh	Canning and preserving -- Exhibitions.	lcsh	Tomatoes	lcsh	Agriculture -- Economic aspects	lcsh						
Sharon	large image	0012_003912_000052	Sumner Co. Canning Club Girls May 7, 1916		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1916	May 7, 1916		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	n	personal					University of Tennessee, Knoxville. Special Collections	Title from the front caption. No information on the back of the photo. Photo of the Sumner County Canning Girls' Club from May 7, 1916. There is a large group of girls, a few women and a few men standing in front of a building.	1 photograph, black and white, 20 x 25.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Sumner County (Tenn.)	naf									Girls	lctgm	Canning & preserving	lctgm	Tomatoes	lctgm	Girls -- Societies and clubs -- History	lcsh	Canning and preserving -- Societies, etc.	lcsh	Tomatoes	lcsh	Home demonstration work	lcsh										
Sharon	large image	0012_003912_000053	[Anderson County Canning Club Exhibit at the Clinton Fair, September 1915.]		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/	Johnson, Ella			personal	still image	1915	September, 1915		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Johnson, Ella   	Photographer		personal					University of Tennessee, Knoxville. Special Collections	Devised title. Back caption, handwritten in ink, "This is a picture of the exhibit made by the Anderson Co. Canning Club girls at the Clinton Fair, Sept. 1915. The 'stand' has four sides, but we get only two." Caption written on the back of the postcard by Mrs. Ella Johnson.	1 photograph, black and white, 8.5 x 13.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Anderson County (Tenn.)	naf	Clinton (Tenn.)	naf							Girls	lctgm	Canning & preserving	lctgm	Tomatoes	lctgm	Exhibitions	lctgm	Girls -- Societies and clubs -- History	lcsh	Canning and preserving -- Societies, etc.	lcsh	Tomatoes	lcsh	Canning and preserving -- Exhibitions.	lcsh								
Sharon	large image	0012_003912_000054	[Canning Club Demonstration at Spencer, Tennessee.] 		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Devised title. Explanation (written in ink on the post card; back of the photo) states this is a demonstration at Spencer, Tenn, third Saturday in July (no year stated), and that Mrs. Artie W. Bryan was the collaborator of the event. Men, women, and children attended.	1 photograph, black and white, 9 x 13.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Spencer (Tenn.)	naf					Bryan, Artie W., Mrs.				Girls	lctgm	Canning & preserving	lctgm	Tomatoes	lctgm	Girls -- Societies and clubs -- History	lcsh	Canning and preserving -- Societies, etc.	lcsh	Tomatoes	lcsh	Home demonstration work	lcsh	Agricultural education -- Societies, etc.	lcsh								
Robin	large image	0012_003912_000055	[short course on tablesetting at Carson-Newman College.]	A 	In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1917	August, 1917?	questionable	photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Devised title. Back caption, handwritten in ink, "Short course. Carson New Man. Aug. [1917?] -- Table setting -- Instructor - Miss Stetson of Tusculum."	1 photograph, black and white, 8.5 x 14 cm.			eng	University of Tennessee, Knoxville. Libraries	Jefferson County (Tenn.)	naf					Carson-Newman College.	naf			Table settings & decorations	lctgm	Girls	lctgm	Women	lctgm	Students	lctgm	Teachers	lctgm	Classrooms	lctgm	Table settings and decorations	lcsh	Home economics extension work	lcsh								
Robin	large image	0012_003912_000056	Jefferson County girls canning in tin. Carson-Newman Short Course, August 1917		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1917	August 1917		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Title from back caption (typed in black ink). 	1 photograph, black and white, 8.5 x 14 cm.			eng	University of Tennessee, Knoxville. Libraries	Jefferson County (Tenn.)	naf					Carson-Newman College.	naf			Girls	lctgm	Canning & preserving	lctgm	Canning and preserving	lcsh	Home economics extension work	lcsh																
Robin	large image	0012_003912_000057	[cooking class]	A	Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Devised title. Back caption (handwritten in ink), "This is a view of one of our cooking classes this week at the school.  Four of the girls are county teachers.  The fireless cooker we built is shown to the left.  While something cooked in it, we tried out other recipes on the stoves.  Some of the things we cooked in it were - Brown Bread, rice, oats, macaroni and cheese, cake, potatoes."	1 photograph, black and white, 8.5 x 14 cm.			eng	University of Tennessee, Knoxville. Libraries											Cookery	lctgm	Pots & pans	lctgm	Classrooms	lctgm	Students	lctgm	Girls	lctgm	Teachers	lctgm	Fireless cookers	lcsh	Cooking -- Study and teaching	lcsh	Home economics extension work	lcsh						
Robin	large image	0012_003912_000058	Women who attended the Campbell County Court, July 1, 1917, in interest of home demonstration work appropriation		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1917	July 1, 1917		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Title from back caption (typed in black ink). 	1 photograph, black and white, 8.5 x 14 cm.			eng	University of Tennessee, Knoxville. Libraries	Campbell County (Tenn.) 	naf									Women	lctgm	Home demonstration work -- Political aspects	lcsh																				
Robin	large image	0012_003912_000059	Field meeting on Nellie Twitty's 1/10 acre garden, Lincoln Co.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Front caption (handwritten in black ink), "Field meeting on Nellie Twitty's 1/10 acre garden, Lincoln Co." No back caption.  Group of 8 men, 3 women and a little girl standing in a garden	1 photograph, black and white, 8.5 x 14 cm.			eng	University of Tennessee, Knoxville. Libraries	Lincoln County (Tenn.)	naf					Twitty, Nellie				Women	lctgm	Men	lctgm	Farmers -- Meetings	lctgm	Gardens	lctgm	Vegetables	lctgm	Vegetable gardening	lcsh	Horticulture	lcsh	Home demonstration work	lcsh								
