JOY	book	0012_003912_000008	Soups - St Patricks Soup.		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					text	19uu	unknown		ephemera	http://vocab.getty.edu/aat/300028881	Virginia P. Moore Collection	MS.3821	unknown	Author							University of Tennessee, Knoxville. Special Collections	The St. Patricks Soup's recipe handwritten in pencil on the back of a blank page of the stationary from Henry Grady Hotel in Atlanta.  	[2] pages ; 24 cm.	Recipes	http://id.loc.gov/authorities/genreForms/gf2014026162	eng	University of Tennessee, Knoxville. Libraries											Cooking (Potatoes) -- Recipes	lcsh	Cooking, Irish -- Recipes	lcsh	Soups -- Recipes	lcsh																		
JOY	book	0012_003912_000009	Preserving.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	text	19uu	unknown		ephemera	http://vocab.getty.edu/aat/300028881	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Author	naf	personal					University of Tennessee, Knoxville. Special Collections	A draft in pencil with Moore's handwriting discussing fruits' preservation in syrup and the use of saccharometer to measure the syrup's density.  	2 leaves of pages ; 27 cm.	Lectures	http://id.loc.gov/authorities/genreForms/gf2014026122	eng	University of Tennessee, Knoxville. Libraries											Fruit -- Preservation	lcsh	Sugar -- Analysis -- Equipment and supplies.	lcsh																				
JOY	large image	0012_003912_000010	Farmers' meeting at Tennessee Ridge, Houston County, July 23, 1915.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1915	July 23, 1915		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Back caption title, handwritten in ink. Photograph of a large group attending a farmers' meeting in Houston County. Additional caption on the back: "Canning demonstration by Mrs. Ora Dillon, agent. 400 peoples present." "Canning & Lime Crushing Demonstration Meeting."  	1 photograph, black and white, 20 x 25 cm. 			eng	University of Tennessee, Knoxville. Libraries	Houston County (Tenn.)	naf									Farmers' groups	lctgm	Women	lctgm	Men	lctgm	Farmers -- Congresses	lcsh																
JOY	large image	0012_003912_000011	Canning Party given by Mrs Scott where the Corn Club Boys brought wood, water and fruit for the girls.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	191u	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Front caption title. Photograph of club girls at a canning party in Curve, Lauderdale County. Back caption (ink stamped): "Miss Virginia P. Moore, Extension Department, U. of T., Knoxville, Tenn."	1 photograph, black and white, 21 x 26 cm.			eng	University of Tennessee, Knoxville. Libraries	Lauderdale County (Tenn.)	naf									Girls	lctgm	Canning & preserving	lctgm	Canning and preserving	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh	Home demonstration work -- History	lcsh												
JOY	large image	0012_003912_000012	[Racheal and her canning work.]		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	1913	1913	inferred	photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Stokes	Photographer		personal					University of Tennessee, Knoxville. Special Collections	Photo's lower right corner: "Stokes, Chattanooga." Back caption (handwritten in pencil): "Racheal Cook who won the $100 00/100 prize at the National Conservation Exposition with girls from Tenn. [Tennessee] Miss [Mississippi] La [Louisiana] and Va [Virginia] for best all round showing of canned goods and quality and quantity grown in 1/10 acre plot and Booklet on "How I made my crop". 	1 photograph, black and white, 25 x 19 cm.			eng	University of Tennessee, Knoxville. Libraries	Hamilton County (Tenn.)	naf									Girls	lctgm	Boys	lctgm	Canning & preserving	lctgm	Canning and preserving	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh	Home demonstration work -- History	lcsh										
JOY	large image	0012_003912_000013	Canning Demonstration, Riverdale School_Rally_Knox Co. 1913. 		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	1913	1913		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Thompson	Photographer		personal					University of Tennessee, Knoxville. Special Collections	Photograph of canning demonstration in Knox County. Back caption title, handwritten in pencil, including the note "1st year work".	1 photograph, black and white, 20 x 25 cm. 			eng	University of Tennessee, Knoxville. Libraries	Knox County (Tenn.)	naf									Girls	lctgm	Women	lctgm	Boys	lctgm	Men	lctgm	Canning & preserving	lctgm	Canning and preserving	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh	Home demonstration work -- History	lcsh						
JOY	large image	0012_003912_000014	GIRLS CANNING CLUBS EXCHANGE.		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	191u	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Stokes 	Photographer		personal					University of Tennessee, Knoxville. Special Collections	Devised title from the signage in the photograph above the shop. Photograph of two Hamilton County club girls standing with exhibit of canned produce and baked goods. "Stokes Chattanooga" stamped on the photo's lower right corner. Back caption (handwritten in black ink, "For Miss V. P. Moore, from Elizabeth [illegible] Chattanooga Tn."	1 photograph, black and white, 19 x 24 cm.			eng	University of Tennessee, Knoxville. Libraries	Hamilton County (Tenn.)	naf									Women	lctgm	Girls	lctgm	Stores & shops	lctgm	Canned foods	lctgm	Baked products	lctgm	Canning & preserving	lctgm	Canning and preserving -- Societies, etc.	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh	Home demonstration work -- History	lcsh				
JOY	large image	0012_003912_000015	States Home Dem[onstration] agents meeting, D.C. 1914.		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	1914	1914		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer 							University of Tennessee, Knoxville. Special Collections	Back caption title. Photograph of a group of women at the States Home Demonstration Agents Meeting in Washington, D.C. in 1914. Virginia P. Moore stands in the back row, second from the right. Additional caption: "Return to Virginia P. Moore." Stamped: "Return to Division of Extension Information." 	1 photograph, black and white, 21 x 26 cm.			eng	University of Tennessee, Knoxville. Libraries	Washington (D.C.)	naf									Women 	lctgm	Home demonstration work -- Congresses	lcsh																				
JOY	large image	0012_003912_000016	Home Demonstration Work: an exhibit at the Florida State Fair that emphasized the importance of home conveniences. 		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection 	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Title from the photo. Subtitle from the front caption. No information on the back of the photo. The photo has a torn lower lefthand corner. Depiction of home and kitchen appliances and a radio with signage around the exhibit area promoting the convenience of housework with these appliances and also for home economic lectures on the radio.  	1 photograph, black and white, 13 x 18 cm.			eng	University of Tennessee, Knoxville. Libraries	Florida	naf	Tampa (Fla.)	naf							Exhibitions	lctgm	Fairs	lctgm	Appliances	lctgm	Housework	lctgm	Housekeeping -- Exhibitions	lcsh	Home demonstration work -- Exhibitions	lcsh												
JOY	large image	0012_003912_000017	Ethelee Scott in her one-tenth acre plot.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Front caption title. Photograph of Ethelee Scott and an unidentified boy standing in a garden plot. Back caption (ink stamped): "Miss Virginia P. Moore, Extension Department, U of T., Knoxville, Tenn."	1 photograph, black and white, 13 x 18 cm. 			eng	University of Tennessee, Knoxville. Libraries	Tennessee	naf									Tomatoes	lctgm	Gardening	lctgm	Girls	lctgm	Boys	lctgm	Gardens	lctgm	Tomatoes -- Harvesting	lcsh	Canning and preserving	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh	Home demonstration work -- History	lcsh				
